"Scan #467",""
"m/z","Intensity"
"139.0390625","572.61224365234"
"139.06091308594","30.22500038147"
"139.06918334961","31.075000762939"
"139.0792388916","18.5"
"139.09394836426","15.22500038147"
"139.10559082031","8"
"139.44598388672","6.0833334922791"
"139.48092651367","7.25"
"139.49104309082","6"
"139.52696228027","9.25"
"139.54234313965","5.0178570747375"
"140.0433807373","160.19853210449"
"140.05976867676","42.125"
"140.07699584961","8.4464282989502"
"140.55926513672","23.666666030884"
"140.57043457031","7.1607141494751"
"141.01887512207","31.778846740723"
"141.03652954102","18.083333969116"
"141.04571533203","15.333333015442"
"142.4503326416","19.375"
"142.46440124512","6.0178570747375"
"142.89414978027","11.333333015442"
"142.89994812012","8.875"
"143.07043457031","47.25"
"144.77862548828","24.083333969116"
"144.8327331543","9.0178575515747"
